sample_id,control,Intestinal Diseases,Lung Diseases,IBS,Thyroid Diseases,ColorectalLesions
SRR8417365,0.55,0.322,0.508,0.324,0.436,0.652
SRR8417366,0.568,0.344,0.504,0.326,0.446,0.636
SRR8417368,0.546,0.32,0.48,0.326,0.44,0.55
SRR8417369,0.544,0.35,0.48,0.326,0.412,0.574
SRR8417371,0.576,0.328,0.48,0.416,0.428,0.55
SRR8417372,0.554,0.318,0.48,0.416,0.446,0.55
SRR8417373,0.532,0.31,0.48,0.326,0.444,0.55
SRR8417374,0.548,0.32,0.48,0.416,0.386,0.602
SRR8417375,0.536,0.33,0.48,0.464,0.444,0.552
SRR8417376,0.52,0.33,0.25,0.342,0.464,0.646
SRR8417377,0.584,0.33,0.48,0.326,0.432,0.592
SRR8417378,0.53,0.302,0.48,0.326,0.422,0.55
SRR8417379,0.584,0.328,0.24,0.448,0.458,0.664
SRR8417380,0.554,0.334,0.48,0.416,0.46,0.552
SRR8417381,0.556,0.302,0.48,0.416,0.444,0.55
SRR8417382,0.536,0.324,0.48,0.598,0.444,0.55
SRR8417383,0.546,0.336,0.48,0.406,0.434,0.55
SRR8417384,0.53,0.308,0.48,0.326,0.44,0.55
SRR8417385,0.548,0.324,0.502,0.326,0.448,0.634
SRR8417386,0.536,0.32,0.24,0.448,0.458,0.664
SRR8417387,0.562,0.33,0.24,0.442,0.468,0.664
SRR8417388,0.542,0.332,0.286,0.4,0.466,0.658
SRR8417389,0.526,0.34,0.282,0.418,0.458,0.658
SRR8417394,0.504,0.316,0.48,0.408,0.422,0.55
SRR8417395,0.54,0.318,0.48,0.416,0.44,0.55
SRR8417396,0.546,0.294,0.254,0.414,0.43,0.592
SRR8417398,0.52,0.33,0.256,0.326,0.412,0.592
SRR8417399,0.536,0.318,0.48,0.342,0.398,0.55
SRR8417400,0.532,0.328,0.506,0.326,0.448,0.646
SRR8417401,0.534,0.348,0.48,0.61,0.424,0.602
SRR8417404,0.548,0.328,0.498,0.326,0.428,0.61
SRR8417405,0.532,0.348,0.284,0.402,0.466,0.658
SRR8417406,0.58,0.35,0.24,0.492,0.478,0.664
SRR8417407,0.536,0.308,0.48,0.416,0.42,0.592
SRR8417408,0.582,0.342,0.24,0.598,0.466,0.664
SRR8417409,0.516,0.328,0.508,0.324,0.432,0.652
SRR8417410,0.518,0.328,0.508,0.498,0.454,0.656
SRR8417411,0.55,0.322,0.24,0.482,0.466,0.664
SRR8417412,0.534,0.316,0.48,0.326,0.428,0.55
SRR8417413,0.478,0.336,0.48,0.584,0.434,0.55
SRR8417414,0.556,0.318,0.484,0.326,0.428,0.602
SRR8417415,0.558,0.322,0.498,0.326,0.402,0.604
SRR8417416,0.536,0.32,0.24,0.55,0.458,0.664
SRR8417417,0.584,0.338,0.24,0.482,0.466,0.664
SRR8417418,0.53,0.316,0.48,0.57,0.438,0.55
SRR8417419,0.532,0.306,0.256,0.414,0.452,0.644
SRR8417420,0.53,0.33,0.502,0.326,0.448,0.642
SRR8417421,0.534,0.33,0.498,0.414,0.42,0.604
SRR8417422,0.522,0.308,0.48,0.416,0.424,0.55
SRR8417423,0.55,0.324,0.488,0.326,0.43,0.604
SRR8417424,0.518,0.298,0.486,0.326,0.428,0.604
SRR8417441,0.546,0.326,0.48,0.6,0.4,0.602
SRR8417444,0.52,0.32,0.48,0.408,0.45,0.55
SRR8417445,0.538,0.324,0.48,0.4,0.4,0.55
SRR8417446,0.558,0.328,0.252,0.608,0.454,0.648
SRR8417447,0.55,0.33,0.25,0.396,0.432,0.636
SRR8417449,0.5,0.302,0.48,0.434,0.422,0.55
SRR8417450,0.476,0.358,0.258,0.326,0.384,0.586
SRR8417451,0.506,0.342,0.24,0.442,0.466,0.664
SRR8417452,0.522,0.296,0.48,0.342,0.416,0.55
SRR8417453,0.556,0.318,0.48,0.414,0.444,0.592
SRR8417454,0.54,0.32,0.25,0.608,0.472,0.59
SRR8417455,0.488,0.336,0.484,0.326,0.458,0.602
SRR8417456,0.548,0.324,0.48,0.416,0.428,0.602
SRR8417457,0.532,0.318,0.48,0.416,0.444,0.55
SRR8417458,0.532,0.316,0.48,0.326,0.414,0.55
SRR8417459,0.5,0.33,0.502,0.326,0.4,0.618
SRR8417460,0.582,0.304,0.48,0.342,0.412,0.55
SRR8417461,0.55,0.334,0.48,0.412,0.452,0.55
SRR8417462,0.578,0.318,0.48,0.406,0.444,0.55
SRR8417463,0.57,0.32,0.48,0.606,0.436,0.55
SRR8417464,0.51,0.296,0.48,0.434,0.438,0.55
SRR8417465,0.544,0.31,0.48,0.408,0.442,0.552
SRR8417466,0.518,0.34,0.24,0.442,0.468,0.664
SRR8417467,0.566,0.298,0.48,0.602,0.446,0.55
SRR8417468,0.568,0.336,0.48,0.416,0.428,0.592
SRR8417469,0.53,0.314,0.48,0.43,0.438,0.55
SRR8417470,0.546,0.324,0.498,0.344,0.454,0.608
SRR8417471,0.552,0.316,0.254,0.326,0.436,0.59
SRR8417472,0.582,0.324,0.502,0.326,0.448,0.642
SRR8417473,0.564,0.34,0.48,0.326,0.446,0.602
SRR8417474,0.55,0.328,0.502,0.326,0.422,0.634
SRR8417475,0.484,0.33,0.48,0.326,0.446,0.602
SRR8417476,0.518,0.364,0.502,0.326,0.438,0.61
SRR8417478,0.566,0.324,0.498,0.326,0.436,0.608
SRR8417479,0.54,0.332,0.286,0.402,0.466,0.658
SRR8417480,0.564,0.294,0.48,0.326,0.448,0.55
SRR8417493,0.586,0.344,0.24,0.556,0.458,0.664
SRR8417494,0.512,0.302,0.48,0.434,0.428,0.55
SRR8417495,0.546,0.322,0.48,0.326,0.428,0.55
SRR8417496,0.55,0.314,0.252,0.606,0.448,0.59
SRR8417497,0.566,0.324,0.48,0.342,0.396,0.592
SRR8417498,0.546,0.324,0.498,0.326,0.436,0.608
