sample_id,1502_Clostridium perfringens,Unmatched_taxon_1,Unmatched_taxon_2,40520_Blautia obeum,Unmatched_taxon_3,39486_Dorea formicigenerans,Unmatched_taxon_4,Unmatched_taxon_5,Unmatched_taxon_6,Unmatched_taxon_7,Unmatched_taxon_8,Unmatched_taxon_9,Unmatched_taxon_10,Unmatched_taxon_11,Unmatched_taxon_12,Unmatched_taxon_13,Unmatched_taxon_14,Unmatched_taxon_15,Unmatched_taxon_16,Unmatched_taxon_17,Unmatched_taxon_18,Unmatched_taxon_19,Unmatched_taxon_20,Unmatched_taxon_21,Unmatched_taxon_22,1680_Bifidobacterium adolescentis,166486_Roseburia intestinalis,29347_[Clostridium] scindens,Unmatched_taxon_23,Unmatched_taxon_24,Unmatched_taxon_25,Unmatched_taxon_26,1625_Lactobacillus sanfranciscensis,Unmatched_taxon_27,46506_Bacteroides stercoris,Unmatched_taxon_28,Unmatched_taxon_29,Unmatched_taxon_30,46503_Parabacteroides merdae,Unmatched_taxon_31,Unmatched_taxon_32,Unmatched_taxon_33,Unmatched_taxon_34,821_Bacteroides vulgatus,Unmatched_taxon_35,Unmatched_taxon_36,Unmatched_taxon_37,Unmatched_taxon_38,Unmatched_taxon_39,Unmatched_taxon_40,Unmatched_taxon_41,Unmatched_taxon_42,Unmatched_taxon_43,Unmatched_taxon_44,Unmatched_taxon_45,Unmatched_taxon_46,Unmatched_taxon_47,Unmatched_taxon_48,Unmatched_taxon_49,214856_Alistipes finegoldii,Unmatched_taxon_50,Unmatched_taxon_51,Unmatched_taxon_52,817_Bacteroides fragilis,Unmatched_taxon_53,Unmatched_taxon_54,Unmatched_taxon_55,Unmatched_taxon_56,Unmatched_taxon_57,Unmatched_taxon_58,Unmatched_taxon_59,Unmatched_taxon_60,Unmatched_taxon_61,Unmatched_taxon_62,358742_[Clostridium] aldenense,Unmatched_taxon_63,33033_Parvimonas micra,Unmatched_taxon_64,1541_Terrisporobacter mayombei,Unmatched_taxon_65,Unmatched_taxon_66,Unmatched_taxon_67,Unmatched_taxon_68,Unmatched_taxon_69,Unmatched_taxon_70,1535_[Clostridium] leptum,Unmatched_taxon_71,Unmatched_taxon_72,35517_[Eubacterium] brachy,1623_Lactobacillus ruminis,39492_[Eubacterium] siraeum,329854_Bacteroides intestinalis,165179_Prevotella copri,28026_Bifidobacterium pseudocatenulatum,Unmatched_taxon_73,187327_Acidaminococcus intestini,Unmatched_taxon_74,Unmatched_taxon_75,Unmatched_taxon_76,28118_Odoribacter splanchnicus,Unmatched_taxon_77,Unmatched_taxon_78,Unmatched_taxon_79,Unmatched_taxon_80,Unmatched_taxon_81,Unmatched_taxon_82,Unmatched_taxon_83,Unmatched_taxon_84,Unmatched_taxon_85,Unmatched_taxon_86,Unmatched_taxon_87,Unmatched_taxon_88,Unmatched_taxon_89,Unmatched_taxon_90,Unmatched_taxon_91,Unmatched_taxon_92,Unmatched_taxon_93,Unmatched_taxon_94,Unmatched_taxon_95,Unmatched_taxon_96,Unmatched_taxon_97,Unmatched_taxon_98,Unmatched_taxon_99,Unmatched_taxon_100,Unmatched_taxon_101,Unmatched_taxon_102,Unmatched_taxon_103,Unmatched_taxon_104,Unmatched_taxon_105,1681_Bifidobacterium bifidum,Unmatched_taxon_106,Unmatched_taxon_107,Unmatched_taxon_108,Unmatched_taxon_109,Unmatched_taxon_110,2173_Methanobrevibacter smithii,Unmatched_taxon_111,Unmatched_taxon_112,1358_Lactococcus lactis,216816_Bifidobacterium longum,Unmatched_taxon_113,Unmatched_taxon_114,Unmatched_taxon_115,Unmatched_taxon_116,Unmatched_taxon_117,Unmatched_taxon_118,Unmatched_taxon_119,Unmatched_taxon_120,Unmatched_taxon_121,Unmatched_taxon_122,Unmatched_taxon_123,76517_Campylobacter hominis,Unmatched_taxon_124,Unmatched_taxon_125,Unmatched_taxon_126,Unmatched_taxon_127,46228_Ruminococcus lactaris,Unmatched_taxon_128,Unmatched_taxon_129,Unmatched_taxon_130,Unmatched_taxon_131,Unmatched_taxon_132,Unmatched_taxon_133,626930_Bacteroides fluxus,Unmatched_taxon_134,246787_Bacteroides cellulosilyticus,Unmatched_taxon_135,Unmatched_taxon_136,Unmatched_taxon_137,Unmatched_taxon_138,Unmatched_taxon_139,Unmatched_taxon_140,Unmatched_taxon_141,Unmatched_taxon_142,Unmatched_taxon_143,Unmatched_taxon_144,Unmatched_taxon_145
SRR10142826,0.49569410954185328,0.16396830864622805,0.0003444712366517396,0.044092318291422669,0.011023079572855667,0.038925249741646573,0.058904581467447467,0.047881501894591803,0.0044781260764726145,0.0079228384429900107,0.029624526352049603,0.0010334137099552187,0.013089906992766104,0.0099896658629004473,0.02445745780227351,0.0051670685497760939,0.011023079572855667,0.0013778849466069584,0.0037891836031691355,0.0013778849466069584,0.0062004822597313122,0.0006889424733034792,0.0003444712366517396,0.0013778849466069584,0.0010334137099552187,0.0020668274199104374,0.0006889424733034792,0.0010334137099552187,0.0013778849466069584,0.0010334137099552187,0.0010334137099552187,0.0003444712366517396,0.0010334137099552187,0.0003444712366517396,0.0006889424733034792,0.0003444712366517396,0.0003444712366517396,0.0024112986565621771,0.0006889424733034792,0.0013778849466069584,0.0003444712366517396,0.0003444712366517396,0.0003444712366517396,0.0003444712366517396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142827,0.017040552200172563,0.15034512510785158,0.00064710957722174283,0.16091458153580673,0.089085418464193267,0.041846419327006043,0.24223468507333909,0.05996548748921484,0.0047454702329594476,0.0049611734253666951,0.12446074201898188,0.00021570319240724764,0.0075496117342536669,0.0034512510785159622,0.016824849007765316,0.005823986194995686,0.015314926660914581,0.0010785159620362382,0.013373597929249352,0.0010785159620362382,0.0012942191544434857,0.00086281276962899055,0.00043140638481449527,0.00021570319240724764,0.0015099223468507334,0.00086281276962899055,0,0,0.0099223468507333903,0,0,0,0.00064710957722174283,0.00021570319240724764,0.00021570319240724764,0.00021570319240724764,0.00021570319240724764,0.0010785159620362382,0.00043140638481449527,0,0,0,0.0015099223468507334,0,0.0019413287316652286,0.00086281276962899055,0.0043140638481449526,0.00064710957722174283,0.0023727351164797238,0.00064710957722174283,0.00064710957722174283,0.00064710957722174283,0.0012942191544434857,0.0017256255392579811,0.00021570319240724764,0.0012942191544434857,0.00086281276962899055,0.00043140638481449527,0.00021570319240724764,0.00021570319240724764,0.00043140638481449527,0.00021570319240724764,0.00021570319240724764,0.00021570319240724764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142828,0.031228070175438598,0.1736842105263158,0,0.1649122807017544,0.11157894736842106,0.027719298245614036,0.10631578947368421,0.14333333333333334,0.0045614035087719294,0.010175438596491228,0.15561403508771929,0.00035087719298245611,0.0080701754385964913,0.006842105263157895,0.024210526315789474,0.0038596491228070177,0.0057894736842105266,0.00017543859649122806,0.00070175438596491223,0.00070175438596491223,0.0038596491228070177,0.00035087719298245611,0.0010526315789473684,0.00087719298245614037,0.00087719298245614037,0.0010526315789473684,0.00017543859649122806,0.00070175438596491223,0.00070175438596491223,0.00017543859649122806,0,0,0.00035087719298245611,0.00017543859649122806,0.00070175438596491223,0.00070175438596491223,0,0.00087719298245614037,0.00017543859649122806,0,0,0.00017543859649122806,0.0014035087719298245,0,0,0.00017543859649122806,0,0,0.0010526315789473684,0,0.00035087719298245611,0.0005263157894736842,0,0.00017543859649122806,0,0,0,0,0.00070175438596491223,0,0,0,0,0,0.00035087719298245611,0.0005263157894736842,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00035087719298245611,0.0005263157894736842,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142829,0.058241758241758243,0.15274725274725276,0,0.094505494505494503,0.017582417582417582,0.023076923076923078,0.1021978021978022,0.053846153846153849,0.0010989010989010989,0.01098901098901099,0.051648351648351645,0.0010989010989010989,0.057142857142857141,0.0032967032967032967,0.054945054945054944,0.0032967032967032967,0.0087912087912087912,0,0.0043956043956043956,0.063736263736263732,0.15384615384615385,0,0,0.0021978021978021978,0.058241758241758243,0.0054945054945054949,0,0,0.0010989010989010989,0.0010989010989010989,0,0,0,0,0,0,0,0.0032967032967032967,0,0,0,0,0,0,0.0021978021978021978,0,0,0,0,0,0.0010989010989010989,0.0010989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010989010989010989,0,0,0,0,0.0010989010989010989,0.0043956043956043956,0.0010989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142830,0.050205519671168528,0.097475044039929543,0,0.051379917792131531,0.017909571344685848,0.023194362889019379,0.42718731650029362,0.048737522019964771,0.002935995302407516,0.010569583088667059,0.029653552554315912,0.0041103934233705222,0.11890780974750441,0.0035231943628890195,0.030827950675278919,0.0041103934233705222,0.030827950675278919,0.00029359953024075161,0.0017615971814445098,0.0023487962419260129,0.010863182618907809,0.0011743981209630064,0.00029359953024075161,0.00029359953024075161,0.00029359953024075161,0.0011743981209630064,0,0.00088079859072225488,0.005578391074574281,0,0,0.00029359953024075161,0.0044039929536112739,0.00058719906048150322,0,0,0,0.002935995302407516,0.0011743981209630064,0,0,0.00029359953024075161,0.005578391074574281,0,0.0011743981209630064,0,0,0,0.0023487962419260129,0,0.00029359953024075161,0.00029359953024075161,0,0.001467997651203758,0,0,0,0,0,0,0,0,0.00029359953024075161,0.00058719906048150322,0,0,0,0,0,0,0,0.00029359953024075161,0,0,0,0,0,0.00029359953024075161,0.00029359953024075161,0.00029359953024075161,0.00029359953024075161,0.00029359953024075161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142831,0.043027576765108544,0.54605906512810487,0.00097789947193428523,0.048112654019166833,0.026012125953451985,0.025229806375904558,0.046548014864071972,0.041462937610013691,0.0054762370428319967,0.030119303735575982,0.027772345002933699,0.00097789947193428523,0.012321533346371993,0.0033248582045765696,0.076471738705261097,0.0033248582045765696,0.0080187756698611376,0.00078231957754742814,0.00097789947193428523,0.0021513788382554275,0.0048894973596714259,0.0019557989438685705,0.00039115978877371407,0.00019557989438685703,0.0044983375708977117,0.0044983375708977117,0.0015646391550948563,0,0.015450811656561706,0.00019557989438685703,0,0,0.00058673968316057105,0.00097789947193428523,0.00039115978877371407,0.00058673968316057105,0,0.0015646391550948563,0.00039115978877371407,0,0,0,0.00078231957754742814,0,0.00039115978877371407,0,0,0,0.0011734793663211421,0,0.00019557989438685703,0.0011734793663211421,0.0017602190494817134,0.00058673968316057105,0,0.00019557989438685703,0,0,0,0.00039115978877371407,0,0,0,0,0.00078231957754742814,0,0,0,0,0,0.00039115978877371407,0,0,0,0,0,0.0011734793663211421,0,0,0,0,0.00019557989438685703,0.00097789947193428523,0.00039115978877371407,0.00039115978877371407,0.00039115978877371407,0.00097789947193428523,0.00019557989438685703,0.00019557989438685703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142832,0.041876046901172533,0.19229480737018426,0.00033500837520938025,0.055276381909547742,0.05393634840871022,0.052931323283082074,0.34304857621440538,0.095477386934673364,0.0083752093802345051,0.018090452261306532,0.040536013400335011,0.001340033500837521,0.014405360134003351,0.0073701842546063647,0.026465661641541037,0.0036850921273031824,0.0077051926298157452,0,0.00033500837520938025,0.003015075376884422,0.0056951423785594644,0.0020100502512562816,0.00033500837520938025,0.0006700167504187605,0.0006700167504187605,0.0023450586264656616,0,0.0006700167504187605,0.0023450586264656616,0.00033500837520938025,0,0,0.001340033500837521,0.00033500837520938025,0.0006700167504187605,0.0010050251256281408,0,0.0016750418760469012,0.0010050251256281408,0,0,0,0.0006700167504187605,0,0,0,0,0,0.0016750418760469012,0,0,0.001340033500837521,0.0006700167504187605,0,0,0,0,0,0,0.00033500837520938025,0,0,0,0.00033500837520938025,0.00033500837520938025,0,0.0006700167504187605,0,0,0.00033500837520938025,0.0006700167504187605,0,0,0,0,0,0.00033500837520938025,0,0,0,0,0,0,0,0,0.0006700167504187605,0,0,0,0.0016750418760469012,0.00033500837520938025,0.00033500837520938025,0.0016750418760469012,0.00033500837520938025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142833,0.0017656146546016333,0.16707128669167953,0.0011035091591260207,0.0092694769366585741,0.041491944383138378,0.0030898256455528582,0.082321783270801141,0.022070183182520416,0.33083204590598103,0.00044140366365040833,0.083425292429927175,0.0013242109909512249,0,0.005076142131979695,0.011255793423085412,0,0.0022070183182520413,0.00044140366365040833,0,0,0,0.0024277201500772457,0,0,0.0017656146546016333,0.011476495254910615,0,0,0.0039726329728536746,0,0,0.00022070183182520416,0.00044140366365040833,0.014345619068638269,0.0079452659457073492,0.0079452659457073492,0,0,0.01655263738689031,0,0.0013242109909512249,0,0.00066210549547561243,0.0013242109909512249,0,0,0,0,0,0,0,0.0086073714411829625,0,0,0,0,0,0,0,0.0035312293092032666,0,0,0,0,0.0094901787684837785,0,0,0,0.00022070183182520416,0.00066210549547561243,0.00022070183182520416,0.00022070183182520416,0,0,0,0,0,0,0,0,0,0.0044140366365040826,0,0,0,0.00022070183182520416,0,0,0,0,0,0,0,0.00066210549547561243,0.012580004414036637,0.11785477819465902,0.0017656146546016333,0.0011035091591260207,0.00044140366365040833,0.0022070183182520413,0.00044140366365040833,0.00022070183182520416,0.00022070183182520416,0.00022070183182520416,0.00022070183182520416,0.00022070183182520416,0.00044140366365040833,0.00022070183182520416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142834,0.00012658227848101267,0.022911392405063291,0.00025316455696202533,0.0034177215189873417,0,0.0021518987341772153,0.0006329113924050633,0.0015189873417721519,0.053291139240506331,0.010886075949367089,0.0010126582278481013,0,0,0.00025316455696202533,0.0024050632911392406,0.013417721518987341,0.0006329113924050633,0,0,0,0,0.0083544303797468359,0,0.60898734177215186,0,0.00088607594936708858,0,0,0.00037974683544303797,0.0010126582278481013,0,0,0,0.0040506329113924053,0.0016455696202531645,0.00050632911392405066,0,0,0.018354430379746836,0,0,0,0,0.0050632911392405064,0,0,0,0,0.00012658227848101267,0,0,0.00088607594936708858,0,0,0,0,0,0,0,0.00050632911392405066,0,0,0,0.00012658227848101267,0.007974683544303798,0,0,0,0,0.00025316455696202533,0,0,0,0,0,0.020632911392405064,0,0,0,0,0,0.00012658227848101267,0.00025316455696202533,0,0,0,0.00012658227848101267,0,0,0,0,0,0,0.00050632911392405066,0.20354430379746835,0,0,0,0,0.0015189873417721519,0,0,0,0,0,0,0,0,0.0006329113924050633,0.00025316455696202533,0.00025316455696202533,0.00012658227848101267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10142835,0,0.10136906495776289,0,0.024759685406350131,0.0010195164579085349,0,0.0017477424992717739,0.0034954849985435479,0.016749198951354502,0.00043693562481794348,0.00072822604136323912,0.00072822604136323912,0.00014564520827264782,0.00029129041654529564,0.013981939994174191,0.52126420040780663,0.00014564520827264782,0.00029129041654529564,0,0.0013108068744538304,0,0.064812117681328288,0,0,0.012525487911447713,0.0014564520827264782,0,0.00087387124963588696,0.0011651616661811825,0,0,0,0,0.00072822604136323912,0.00072822604136323912,0,0,0,0.0011651616661811825,0,0.0013108068744538304,0,0.00087387124963588696,0.0010195164579085349,0,0,0,0,0.00087387124963588696,0,0,0.067288086221963292,0,0.00014564520827264782,0,0,0,0,0,0.022866297698805708,0,0,0,0.0029129041654529565,0.00058258083309059127,0,0,0,0,0,0.007427905621905039,0,0,0,0,0.080396154966501598,0,0,0,0,0.0010195164579085349,0,0,0,0,0,0,0,0,0,0,0,0,0.018642586658898921,0.0021846781240897175,0,0,0,0,0.00029129041654529564,0.00043693562481794348,0.00087387124963588696,0,0,0.00087387124963588696,0,0,0,0.00043693562481794348,0.00058258083309059127,0.0085930672880862227,0,0.0033498397902709002,0.0013108068744538304,0.00014564520827264782,0.00043693562481794348,0.00029129041654529564,0.00029129041654529564,0.00014564520827264782,0.00029129041654529564,0.00029129041654529564,0.00014564520827264782,0.00014564520827264782,0.00029129041654529564,0.00043693562481794348,0.00014564520827264782,0.00014564520827264782,0.00029129041654529564,0.00014564520827264782,0.00014564520827264782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
