sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SAMD00114718,0.11,0.01,0,0.32000000000000001,0.20999999999999999,0,0.02,0.02,0.53000000000000003,0,0,0
SAMD00114719,0,0.050000000000000003,0,0,0.01,0,0,0.070000000000000007,0.85999999999999999,0,0,0
SAMD00114720,0.01,0.059999999999999998,0.059999999999999998,0.16,0.059999999999999998,0.02,0,0,0.71999999999999997,0,0,0
SAMD00114722,0,0,0,1,0.02,0.01,0,0,0.040000000000000001,0,0,0
SAMD00114723,0.02,0.01,0,0.93000000000000005,0.029999999999999999,0,0,0,0.14999999999999999,0,0,0
SAMD00114724,0.01,0,0.029999999999999999,1,0.23999999999999999,0.10000000000000001,0.029999999999999999,0,0.38,0,0,0
SAMD00114726,0.12,0.01,0,0.98999999999999999,0,0,0,0,0.040000000000000001,0,0,0
SAMD00114728,0.02,0.040000000000000001,0.02,0.72999999999999998,0.17999999999999999,0.01,0,0.10000000000000001,0.44,0.029999999999999999,0,0
SAMD00114729,0,0,0.01,0.96999999999999997,0.029999999999999999,0,0,0,0.22,0,0,0
SAMD00114731,0,0,0,1,0,0,0,0,0.050000000000000003,0,0,0
SAMD00114732,0,0,0,0.97999999999999998,0.040000000000000001,0,0,0.01,0.23000000000000001,0,0,0
SAMD00114733,0.01,0,0.01,0.98999999999999999,0,0,0,0,0.01,0,0,0
SAMD00114734,0,0,0,0.13,0.10000000000000001,0,0,0.059999999999999998,0.91000000000000003,0.02,0,0
SAMD00114735,0,0,0,0.98999999999999999,0.040000000000000001,0.089999999999999997,0,0.01,0.059999999999999998,0,0.01,0
SAMD00114736,0.02,0,0.01,0.029999999999999999,0.14000000000000001,0,0.01,0,0.92000000000000004,0,0.02,0
SAMD00114737,0,0,0,1,0,0,0,0,0.02,0,0,0
SAMD00114738,0.040000000000000001,0,0,0.98999999999999999,0,0,0,0,0.059999999999999998,0.01,0,0
SAMD00114739,0.01,0,0,1,0,0,0,0.01,0.20999999999999999,0,0,0
SAMD00114740,0,0,0,0.97999999999999998,0.059999999999999998,0,0,0,0.17000000000000001,0.01,0,0
SAMD00114741,0,0,0,0.029999999999999999,0,0,0,0,0.81000000000000005,0,0,0
SAMD00114742,0.01,0,0.01,0.95999999999999996,0.070000000000000007,0.01,0.040000000000000001,0,0.12,0.01,0,0
SAMD00114743,0,0,0,0.98999999999999999,0,0.01,0,0,0.070000000000000007,0,0,0
SAMD00114745,0.01,0,0.01,0.23000000000000001,0.01,0,0.029999999999999999,0,0.69999999999999996,0.040000000000000001,0,0
SAMD00114747,0.01,0,0,0.23000000000000001,0.040000000000000001,0.14999999999999999,0.01,0.02,0.84999999999999998,0.029999999999999999,0,0
SAMD00114748,0.01,0,0.01,1,0.01,0,0,0.02,0.059999999999999998,0,0,0
SAMD00114750,0,0.01,0,1,0.01,0,0,0,0.20000000000000001,0,0,0
SAMD00114751,0,0,0,1,0.02,0,0,0,0.17000000000000001,0.02,0,0
SAMD00114753,0.01,0,0.01,0.68999999999999995,0.050000000000000003,0,0,0.01,0.39000000000000001,0,0,0
SAMD00114754,0,0.02,0,0.97999999999999998,0.11,0,0,0,0.050000000000000003,0,0,0.01
SAMD00114756,0,0,0.02,0.98999999999999999,0.040000000000000001,0.16,0,0,0.059999999999999998,0,0,0
SAMD00114758,0,0.02,0,0.93000000000000005,0.01,0.01,0,0,0.14000000000000001,0,0,0
SAMD00114760,0,0,0,1,0,0,0,0,0.059999999999999998,0,0,0
SAMD00114762,0.01,0,0.01,1,0.040000000000000001,0,0,0,0.20000000000000001,0,0,0
SAMD00114763,0.01,0,0,1,0,0,0,0,0.040000000000000001,0,0,0
SAMD00114764,0,0,0,0.25,0.040000000000000001,0.029999999999999999,0,0,0.63,0.01,0.02,0
SAMD00114766,0.01,0,0.01,1,0.02,0,0.01,0,0.17000000000000001,0,0,0
SAMD00114767,0,0,0,1,0.01,0,0,0,0.029999999999999999,0,0,0
SAMD00114771,0.02,0,0,0.65000000000000002,0.080000000000000002,0,0,0.040000000000000001,0.52000000000000002,0.029999999999999999,0,0
SAMD00114773,0,0,0,0.02,0,0,0,0,0.75,0,0,0
SAMD00114774,0.029999999999999999,0.01,0,0.97999999999999998,0,0.01,0.01,0,0.16,0,0,0
SAMD00114775,0,0.040000000000000001,0,1,0.02,0.02,0.01,0,0.39000000000000001,0,0,0
SAMD00114776,0,0,0,0.97999999999999998,0.050000000000000003,0.089999999999999997,0.040000000000000001,0,0.23000000000000001,0,0.02,0
SAMD00114778,0.01,0,0,0.20000000000000001,0,0,0.02,0,0.63,0,0,0
SAMD00114779,0.02,0.01,0,0.14000000000000001,0.070000000000000007,0,0.029999999999999999,0,0.95999999999999996,0,0,0
SAMD00114780,0.02,0,0,0.17000000000000001,0.16,0,0,0,0.75,0,0,0
SAMD00114781,0.01,0.01,0,0.029999999999999999,0.050000000000000003,0,0,0,0.81000000000000005,0,0,0
SAMD00114783,0.029999999999999999,0,0,0.080000000000000002,0.02,0,0.02,0.01,0.82999999999999996,0.01,0,0
SAMD00114784,0,0,0,0.13,0.14999999999999999,0,0.040000000000000001,0,0.81999999999999995,0.01,0,0
SAMD00114785,0,0,0,0.089999999999999997,0.13,0.14000000000000001,0.059999999999999998,0,0.95999999999999996,0,0.01,0
SAMD00114786,0,0,0,0.95999999999999996,0.11,0.040000000000000001,0,0,0.070000000000000007,0,0,0
SAMD00114787,0.029999999999999999,0,0,0.98999999999999999,0.01,0,0,0,0.14000000000000001,0,0,0
SAMD00114789,0.050000000000000003,0,0,0.23999999999999999,0.040000000000000001,0.050000000000000003,0,0.02,0.73999999999999999,0.040000000000000001,0,0
SAMD00114791,0,0,0.01,0.12,0.02,0.10000000000000001,0.02,0,0.91000000000000003,0,0,0
SAMD00114793,0.01,0,0,1,0,0,0,0,0.059999999999999998,0.01,0,0
SAMD00114794,0,0,0,0.95999999999999996,0.059999999999999998,0,0.02,0,0.20999999999999999,0,0.01,0
SAMD00114795,0.080000000000000002,0.01,0,0.35999999999999999,0.02,0,0,0.070000000000000007,0.34999999999999998,0.01,0,0
SAMD00114797,0,0,0,1,0.080000000000000002,0.02,0,0,0.089999999999999997,0.029999999999999999,0,0
SAMD00114798,0.050000000000000003,0.040000000000000001,0.01,0.02,0.93000000000000005,0,0,0,0.46000000000000002,0,0,0.01
SAMD00114799,0,0,0,0.88,0.01,0,0.029999999999999999,0,0.20000000000000001,0,0,0
SAMD00114802,0,0,0.01,1,0,0.02,0.040000000000000001,0.01,0.14000000000000001,0,0,0
SAMD00114803,0,0,0.01,0.94999999999999996,0,0.029999999999999999,0,0,0.17999999999999999,0,0,0
SAMD00114804,0,0,0,0.98999999999999999,0,0,0,0,0.28000000000000003,0,0,0
SAMD00114805,0,0,0.02,0.98999999999999999,0,0.01,0.01,0,0.13,0.029999999999999999,0,0
SAMD00114806,0,0,0.01,0.97999999999999998,0.13,0,0.029999999999999999,0,0.040000000000000001,0,0,0
SAMD00114807,0.040000000000000001,0,0.050000000000000003,0.17999999999999999,0.029999999999999999,0.02,0,0,0.87,0,0.01,0
SAMD00114808,0.040000000000000001,0,0.089999999999999997,0.31,0.46000000000000002,0.02,0,0,0.28000000000000003,0.029999999999999999,0,0
SAMD00114809,0,0,0.029999999999999999,0.080000000000000002,0.10000000000000001,0.040000000000000001,0.01,0.01,0.89000000000000001,0,0,0
SAMD00114810,0,0,0,1,0.01,0,0,0,0.26000000000000001,0,0,0
SAMD00114812,0,0,0,0.23999999999999999,0,0,0,0.029999999999999999,0.81000000000000005,0,0,0
SAMD00114814,0.02,0,0,0.55000000000000004,0.059999999999999998,0.14999999999999999,0.029999999999999999,0,0.60999999999999999,0.11,0.02,0
SAMD00114815,0.059999999999999998,0,0,0.29999999999999999,0.45000000000000001,0,0.01,0.059999999999999998,0.79000000000000004,0,0,0
SAMD00114816,0,0,0,1,0,0,0,0,0.16,0,0,0
SAMD00114817,0.029999999999999999,0,0,0.68000000000000005,0.029999999999999999,0,0.01,0.02,0.26000000000000001,0.02,0,0
SAMD00114818,0,0,0,0.12,0.01,0,0,0,0.96999999999999997,0,0,0
SAMD00114819,0.040000000000000001,0,0,0.089999999999999997,0.01,0,0,0,0.88,0,0,0
SAMD00114821,0,0,0,1,0.029999999999999999,0,0,0,0.27000000000000002,0,0,0
SAMD00114822,0,0,0,0.93000000000000005,0.28000000000000003,0.02,0.02,0,0.14999999999999999,0.01,0,0
SAMD00114824,0.01,0,0,0,0.40000000000000002,0,0,0,0.68999999999999995,0,0,0
SAMD00114825,0,0,0,0.95999999999999996,0.089999999999999997,0,0.02,0,0.13,0,0,0
SAMD00114827,0,0.01,0,1,0,0,0,0,0.16,0,0,0
SAMD00114829,0,0,0.01,0.02,0.059999999999999998,0,0,0,0.95999999999999996,0,0,0
SAMD00114830,0.029999999999999999,0.01,0,0.14000000000000001,0.10000000000000001,0.01,0.029999999999999999,0,0.83999999999999997,0,0.02,0
SAMD00114831,0.02,0,0,0.98999999999999999,0,0.01,0,0,0.13,0,0,0
SAMD00114832,0,0,0,0.13,0.01,0,0,0.01,0.89000000000000001,0.050000000000000003,0,0
SAMD00114833,0.029999999999999999,0,0,0.27000000000000002,0.02,0.01,0.040000000000000001,0.029999999999999999,0.67000000000000004,0.01,0,0
SAMD00114834,0,0.01,0,0.089999999999999997,0.5,0.02,0.14000000000000001,0,0.19,0.10000000000000001,0,0
SAMD00114835,0.02,0,0,0.63,0.20999999999999999,0.050000000000000003,0.029999999999999999,0.02,0.55000000000000004,0.02,0.01,0
SAMD00114836,0,0,0,0.97999999999999998,0,0.01,0,0,0.050000000000000003,0,0,0
SAMD00114838,0.02,0,0.070000000000000007,0.83999999999999997,0.20000000000000001,0,0.029999999999999999,0,0.31,0.02,0,0
SAMD00114840,0,0,0,1,0.01,0,0,0.01,0.059999999999999998,0,0,0
SAMD00114841,0,0,0,1,0.02,0,0,0.01,0.19,0,0,0
SAMD00114842,0,0,0,0.080000000000000002,0,0,0,0.050000000000000003,0.85999999999999999,0,0,0
SAMD00114843,0.01,0,0,0.040000000000000001,0,0,0.02,0,0.87,0,0,0
SAMD00114846,0,0,0,1,0,0.01,0,0.01,0.14000000000000001,0,0,0
SAMD00114847,0,0,0,1,0,0.01,0.01,0,0.27000000000000002,0.01,0,0
SAMD00114849,0,0,0,1,0,0,0,0,0.23000000000000001,0,0,0
SAMD00114850,0,0,0.02,0.20000000000000001,0.029999999999999999,0.029999999999999999,0,0,0.68000000000000005,0.01,0,0.029999999999999999
SAMD00114851,0,0,0,1,0,0,0,0,0.11,0.01,0,0
SAMD00114852,0,0,0,1,0,0,0,0.01,0.080000000000000002,0,0,0
SAMD00114854,0,0,0.01,0.10000000000000001,0.23000000000000001,0,0,0.059999999999999998,0.82999999999999996,0.01,0,0
SAMD00114855,0.02,0,0,0.95999999999999996,0.10000000000000001,0,0,0,0.25,0,0,0
SAMD00114858,0.02,0.02,0,0.14000000000000001,0,0.01,0.01,0,0.81999999999999995,0,0,0
SAMD00114859,0.040000000000000001,0,0,0.23999999999999999,0,0,0.02,0.01,0.83999999999999997,0,0,0
SAMD00114861,0,0,0,0.98999999999999999,0.029999999999999999,0.02,0.01,0,0.089999999999999997,0,0,0
SAMD00114862,0.050000000000000003,0.01,0.01,0.20000000000000001,0.10000000000000001,0.059999999999999998,0,0,0.96999999999999997,0.040000000000000001,0,0
SAMD00114863,0,0,0,1,0,0,0,0,0.070000000000000007,0,0,0
SAMD00114864,0,0,0.02,0.96999999999999997,0.029999999999999999,0,0,0,0.14000000000000001,0,0,0
SAMD00114865,0,0,0,0.01,0.14999999999999999,0,0,0,0.91000000000000003,0,0,0
SAMD00114866,0,0,0,0.98999999999999999,0.19,0,0,0,0.16,0,0,0
SAMD00114868,0,0,0,0.97999999999999998,0.01,0.02,0,0.01,0.20000000000000001,0,0,0
SAMD00114870,0,0,0,0.98999999999999999,0,0,0,0,0.20999999999999999,0,0,0
SAMD00114871,0,0,0,1,0,0.01,0,0,0.059999999999999998,0,0,0
SAMD00114873,0.01,0,0,0.11,0.050000000000000003,0,0,0,0.93999999999999995,0,0,0
SAMD00114874,0,0,0,0.029999999999999999,0.040000000000000001,0,0.01,0.01,0.96999999999999997,0.01,0,0
SAMD00114875,0.080000000000000002,0.089999999999999997,0,0.20999999999999999,0.82999999999999996,0,0.13,0,0.25,0,0,0.040000000000000001
SAMD00114876,0,0,0,0.23000000000000001,0.12,0,0,0,0.81999999999999995,0,0.01,0
SAMD00114877,0,0,0,0.98999999999999999,0,0,0,0.040000000000000001,0.14999999999999999,0,0,0
SAMD00114879,0.070000000000000007,0.02,0,0.42999999999999999,0.029999999999999999,0,0.02,0,0.44,0.01,0,0.01
SAMD00114881,0.040000000000000001,0,0,0.28000000000000003,0.13,0,0,0.01,0.62,0.01,0,0
SAMD00114882,0.01,0,0,0.11,0.059999999999999998,0.029999999999999999,0.029999999999999999,0.01,0.93999999999999995,0,0,0
SAMD00114883,0,0,0.02,0.98999999999999999,0.029999999999999999,0,0,0.050000000000000003,0.080000000000000002,0,0,0
SAMD00114884,0.01,0,0,0.26000000000000001,0.75,0.20999999999999999,0.17000000000000001,0,0.37,0.14000000000000001,0,0
SAMD00114885,0.02,0,0,0.20000000000000001,0.41999999999999998,0.050000000000000003,0,0.01,0.71999999999999997,0,0,0
SAMD00114887,0,0,0,0.98999999999999999,0.029999999999999999,0.01,0,0,0.10000000000000001,0,0,0
SAMD00114888,0,0,0,0.28999999999999998,0.050000000000000003,0,0.029999999999999999,0,0.90000000000000002,0,0,0
SAMD00114889,0.01,0.02,0.01,0.050000000000000003,0.059999999999999998,0,0.01,0,0.81000000000000005,0,0,0
SAMD00114890,0,0.01,0,1,0.029999999999999999,0,0,0,0.089999999999999997,0,0,0
SAMD00114891,0,0,0,1,0,0,0.01,0,0.23000000000000001,0,0,0
SAMD00114892,0,0,0,1,0,0,0,0,0.059999999999999998,0,0,0
