sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
SAMD00114718,0.026925420311256224,0.017090745726581643,0.0071171051171051158,0.17310090261587771,0.12175624014694718,0.0061235747396738097,0.026341859491072036,0.012316577922421577,0.58690127313782914,0.012742117516649753,0.0080640809354044652,0.0015201023391812865
SAMD00114719,0,0.00081168831168831163,0.0015555555555555557,0.0063018231768231766,0.0054007936507936508,0.017861547357870888,0.0002380952380952381,0,0.96038571028644559,0,0.0044875700280112051,0.0029572163947163945
SAMD00114720,0.004646194083694084,0.0040560224089635855,0.0056664629230418692,0.036916817974169229,0.034959393511209025,0.0019305555555555554,0.024578267263016217,0.0039246674378253322,0.86780148978427718,0.0037608225108225102,0.0073822723329302273,0.0043770342144955152
SAMD00114722,0.0015079365079365078,0,0,0.96223214674472413,0.0017302489177489179,0,0.0012460317460317458,0,0.030741141813123232,0.0025424942704354468,0,0
SAMD00114723,0.0021677807486631018,0,0,0.964931668219981,0.00022727272727272727,0,0.0026598124098124094,0,0.026364879186860611,0.0025427807486631017,0.0011058059587471354,0
SAMD00114724,0.0078679828942986845,0,0,0.89555610427322629,0.020243324428073382,0,0.0090006868131868138,0,0.066897118982519099,0,0.00043478260869565214,0
SAMD00114726,0.020486823118402064,0,0,0.92578471214887603,0.00022727272727272727,0,0.0034375901875901877,0,0.047896107547423329,0.0021674942704354469,0,0
SAMD00114728,0.034874116659913856,0.0018341103341103339,0,0.66960321722910709,0.031128520181229153,0.0002941176470588235,0.021339437445938997,0.00045454545454545455,0.2253302369843779,0.0087060503780705019,0.0064356476856476854,0
SAMD00114729,0,0,0,0.99114927944862141,0,0,0.00069047619047619057,0,0.0075352443609022542,0.00062500000000000001,0,0
SAMD00114731,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114732,0.0048895107085896563,0,0,0.96886693840215499,0.0002631578947368421,0,0.0037755041011619957,0,0.019877591706539074,0.0023272971868173111,0,0
SAMD00114733,0.00045454545454545455,0,0,0.97426999900684119,0,0,0.001746031746031746,0,0.020639813402971295,0.0020779220779220779,0.00081168831168831163,0
SAMD00114734,0,0,0,0.0002631578947368421,0.01316913498008699,0.00051587301587301582,0,0,0.98542912348659262,0.00062271062271062271,0,0
SAMD00114735,0.013390919022497972,0,0,0.90871329680811086,0.0087787603478392956,0,0.0037755041011619957,0,0.061390845910195752,0.0039506738101939337,0,0
