sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
sample1,0,0,0.93000000000000005,0.029999999999999999,0.01,0.01,0,0,0.63,0,0,0
sample2,0.02,0,0,0.38,0.31,0.02,0.01,0.040000000000000001,0.37,0.29999999999999999,0,0
sample3,0.23999999999999999,0.089999999999999997,0,0.070000000000000007,0,0,0,0.34999999999999998,0.050000000000000003,0,0.040000000000000001,0
sample4,0.059999999999999998,0,0,0.75,0.089999999999999997,0.02,0.01,0,0.46999999999999997,0.01,0,0
sample5,0,0,0.01,0.070000000000000007,0.13,0.94999999999999996,0,0,0.64000000000000001,0.01,0,0
sample6,0.10000000000000001,0,0,0.080000000000000002,0.070000000000000007,0,0.059999999999999998,0.28999999999999998,0.29999999999999999,0,0,0.02
sample7,0.02,0.040000000000000001,0.02,0.72999999999999998,0.17999999999999999,0.01,0,0.10000000000000001,0.44,0.029999999999999999,0,0
sample8,0.95999999999999996,0,0,0.14999999999999999,0,0,0.029999999999999999,0.029999999999999999,0.20000000000000001,0,0,0
sample9,0.98999999999999999,0,0,0.10000000000000001,0.10000000000000001,0,0.01,0,0.10000000000000001,0.029999999999999999,0.01,0
sample10,0,0,0.070000000000000007,0.01,0.38,0.48999999999999999,0.070000000000000007,0,0.72999999999999998,0.01,0.01,0
sample11,0.029999999999999999,0.029999999999999999,0.57999999999999996,0.050000000000000003,0.31,0,0.01,0,0.28999999999999998,0,0,0.02
sample12,0,0,0,0.029999999999999999,0,0.40000000000000002,0.01,0.01,0.34000000000000002,0,0,0
sample13,0,0,0,0.029999999999999999,0.02,0.87,0.01,0,0.60999999999999999,0,0,0
sample14,0,0,0.48999999999999999,0.01,0.11,0.01,0,0,0.31,0.11,0,0
sample15,0,0,0,0.01,0.01,0.57999999999999996,0,0,0.22,0,0,0
sample16,0,0,0.32000000000000001,0,0.080000000000000002,0,0,0,0.53000000000000003,0,0,0
sample17,0.94999999999999996,0,0.01,0.27000000000000002,0.23999999999999999,0,0.050000000000000003,0.01,0.13,0.02,0.050000000000000003,0
sample18,0,0,0,0.13,0.10000000000000001,0,0,0.059999999999999998,0.91000000000000003,0.02,0,0
sample19,0.01,0,0.01,0.64000000000000001,0.040000000000000001,0.01,0,0.01,0.42999999999999999,0.01,0,0
sample20,0,0,0,0.040000000000000001,0.070000000000000007,0,0,0,0.34999999999999998,0,0.83999999999999997,0
sample21,0.040000000000000001,0,0.01,0,0.16,0.029999999999999999,0.02,0.01,0.55000000000000004,0.01,0,0
sample22,0,0,0.02,0.029999999999999999,0.71999999999999997,0.12,0.02,0,0.44,0.01,0,0
sample23,0.02,0.070000000000000007,0.02,0.19,0.029999999999999999,0,0.02,0.93999999999999995,0.39000000000000001,0,0,0
sample24,0,0,0,0.26000000000000001,0.58999999999999997,0.01,0,0,0.95999999999999996,0,0,0
sample25,0,0,0,0.050000000000000003,0.050000000000000003,1,0.040000000000000001,0,0.63,0,0.01,0
sample26,0,0,0.47999999999999998,0,0.080000000000000002,0,0,0,0.40000000000000002,0,0,0
sample27,0,0.01,0.57999999999999996,0,0.01,0,0,0,0.46000000000000002,0,0,0
sample28,0,0,0,0,0.029999999999999999,0.37,0.01,0,0.17999999999999999,0.059999999999999998,0.01,0
sample29,0,0,0,0.02,0.089999999999999997,0.33000000000000002,0,0,0.91000000000000003,0,0,0
