sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SRR14610692,0.040000000000000001,0,0.55000000000000004,0.040000000000000001,0.12,0,0.01,0.01,0.40000000000000002,0.089999999999999997,0,0
SRR14610575,0.10000000000000001,0.050000000000000003,0.029999999999999999,0.040000000000000001,0.56999999999999995,0,0.13,0.029999999999999999,0.13,0,0,0.02
SRR14610674,0.089999999999999997,0.01,0.089999999999999997,0.34999999999999998,0.089999999999999997,0.01,0.070000000000000007,0.040000000000000001,0.51000000000000001,0.02,0,0
SRR14610584,0.080000000000000002,0,0.23000000000000001,0.41999999999999998,0.13,0,0.029999999999999999,0,0.52000000000000002,0.02,0.01,0
SRR14610612,0.13,0.01,0.13,0.42999999999999999,0.089999999999999997,0,0.050000000000000003,0,0.70999999999999996,0.13,0,0
SRR14610630,0.28000000000000003,0,0.23999999999999999,0.070000000000000007,0.070000000000000007,0,0,0.02,0.20000000000000001,0,0.059999999999999998,0
SRR14610621,0.13,0,0.10000000000000001,0.17999999999999999,0.040000000000000001,0.029999999999999999,0.070000000000000007,0,0.40000000000000002,0.02,0.02,0
SRR14610588,0,0,0.070000000000000007,0.48999999999999999,0.02,0.01,0.01,0,0.37,0.02,0.11,0
SRR14610669,0.089999999999999997,0,0.10000000000000001,0.40000000000000002,0.23999999999999999,0.01,0,0,0.23999999999999999,0.01,0,0
SRR14610687,0,0.01,0.10000000000000001,0.33000000000000002,0.23999999999999999,0,0.040000000000000001,0.029999999999999999,0.53000000000000003,0.050000000000000003,0.01,0.16
SRR14610616,0.080000000000000002,0.01,0.17999999999999999,0.46000000000000002,0.54000000000000004,0.10000000000000001,0,0,0.48999999999999999,0.029999999999999999,0,0
SRR14610670,0.20999999999999999,0.01,0.20999999999999999,0.17999999999999999,0.20000000000000001,0,0.17999999999999999,0.01,0.51000000000000001,0,0.02,0.059999999999999998
SRR14610661,0.11,0,0.089999999999999997,0.25,0.40000000000000002,0.01,0.040000000000000001,0.040000000000000001,0.35999999999999999,0.02,0.01,0
SRR14610607,0.14999999999999999,0.01,0.12,0.25,0.45000000000000001,0.01,0.040000000000000001,0.050000000000000003,0.31,0.029999999999999999,0,0
SRR14610676,0,0,0,0.60999999999999999,0.01,0,0.040000000000000001,0.029999999999999999,0.51000000000000001,0,0,0
SRR14610577,0,0,0.02,0.23999999999999999,0.01,0.01,0.050000000000000003,0.02,0.64000000000000001,0,0,0
SRR14610586,0,0,0.16,0.029999999999999999,0.050000000000000003,0.02,0,0,0.41999999999999998,0.02,0.029999999999999999,0
SRR14610632,0.14999999999999999,0,0.10000000000000001,0.34000000000000002,0.16,0,0.040000000000000001,0.01,0.46999999999999997,0,0,0
SRR14610731,0.11,0.040000000000000001,0.19,0.050000000000000003,0.28000000000000003,0.029999999999999999,0.050000000000000003,0.01,0.48999999999999999,0.01,0,0.02
SRR14610605,0.050000000000000003,0,0.60999999999999999,0.10000000000000001,0.050000000000000003,0,0.089999999999999997,0.01,0.63,0,0.02,0
SRR14610623,0.10000000000000001,0,0.029999999999999999,0.51000000000000001,0.11,0,0,0.029999999999999999,0.17000000000000001,0,0,0
SRR14610610,0.059999999999999998,0,0.080000000000000002,0.51000000000000001,0.28000000000000003,0,0,0,0.39000000000000001,0,0.23999999999999999,0
SRR14610698,0.080000000000000002,0,0.02,0.050000000000000003,0.080000000000000002,0.01,0.02,0,0.41999999999999998,0.31,0,0
SRR14610672,0.22,0.01,0.33000000000000002,0.089999999999999997,0.080000000000000002,0,0.070000000000000007,0.02,0.28999999999999998,0.040000000000000001,0.040000000000000001,0.01
SRR14610618,0.02,0.050000000000000003,0.13,0.40999999999999998,0.27000000000000002,0,0.029999999999999999,0,0.40000000000000002,0,0.029999999999999999,0
SRR14610690,0,0,0.27000000000000002,0.20999999999999999,0.059999999999999998,0.01,0.23000000000000001,0,0.46000000000000002,0,0,0
SRR14610573,0.23999999999999999,0,0.35999999999999999,0.41999999999999998,0.02,0,0.11,0,0.45000000000000001,0.14000000000000001,0.070000000000000007,0
SRR14610609,0.38,0,0.050000000000000003,0.46000000000000002,0.28000000000000003,0,0.29999999999999999,0,0.29999999999999999,0.11,0,0
SRR14610681,0.16,0,0.19,0.23999999999999999,0.080000000000000002,0,0.059999999999999998,0,0.44,0.050000000000000003,0.01,0.01
SRR14610627,0.34000000000000002,0,0.17999999999999999,0.23000000000000001,0.050000000000000003,0,0.01,0.01,0.77000000000000002,0.14999999999999999,0.02,0
SRR14610582,0.17000000000000001,0,0.13,0.40999999999999998,0.34999999999999998,0,0.20000000000000001,0.19,0.53000000000000003,0,0.01,0
SRR14610663,0.029999999999999999,0,0.01,0.42999999999999999,0.080000000000000002,0,0,0,0.69999999999999996,0,0.02,0
SRR14610585,0.16,0.01,0.01,0.46999999999999997,0.02,0,0,0.10000000000000001,0.25,0.070000000000000007,0,0
SRR14610684,0.14000000000000001,0.01,0.01,0.35999999999999999,0,0,0.01,0.27000000000000002,0.60999999999999999,0,0,0
SRR14610576,0.02,0,0.070000000000000007,0,0.23999999999999999,0.040000000000000001,0.11,0.029999999999999999,0.51000000000000001,0.01,0,0
SRR14610693,0.050000000000000003,0,0.13,0.01,0.23000000000000001,0,0.070000000000000007,0,0.59999999999999998,0.14999999999999999,0.01,0
SRR14610604,0.17999999999999999,0.059999999999999998,0.38,0.27000000000000002,0.29999999999999999,0,0.14999999999999999,0,0.44,0.01,0,0.01
SRR14610589,0.27000000000000002,0,0.029999999999999999,0.28999999999999998,0.059999999999999998,0.14000000000000001,0.11,0.27000000000000002,0.52000000000000002,0,0,0
SRR14610688,0.12,0.050000000000000003,0.11,0.17000000000000001,0.5,0,0.059999999999999998,0,0.19,0,0,0.02
SRR14610679,0.20000000000000001,0.01,0.089999999999999997,0.66000000000000003,0.01,0.02,0.02,0.01,0.38,0.040000000000000001,0,0
SRR14610697,0.050000000000000003,0.22,0.01,0.56000000000000005,0.01,0,0.10000000000000001,0,0.52000000000000002,0.01,0,0
SRR14610581,0.17999999999999999,0,0.11,0.47999999999999998,0.12,0.28999999999999998,0.40999999999999998,0.02,0.54000000000000004,0.050000000000000003,0,0
SRR14610662,0,0,0.32000000000000001,0.19,0.11,0,0.19,0,0.54000000000000004,0,0,0
SRR14610626,0.28999999999999998,0.01,0.31,0.27000000000000002,0.23999999999999999,0.02,0,0,0.46999999999999997,0.02,0.01,0
SRR14610680,0.02,0,0.34999999999999998,0.54000000000000004,0.29999999999999999,0.01,0,0,0.28000000000000003,0,0,0
SRR14610608,0.02,0,0,0.33000000000000002,0,0.01,0.01,0.059999999999999998,0.46000000000000002,0,0.029999999999999999,0.050000000000000003
