,Msig,TaxonID,Species
0,418856_Nevskia soli,418856,Nevskia soli
1,1681_Bifidobacterium bifidum,1681,Bifidobacterium bifidum
2,191610_Corynebacterium atypicum,191610,Corynebacterium atypicum
3,300_Pseudomonas mendocina,300,Pseudomonas mendocina
4,109258_Desulfacinum hydrothermale,109258,Desulfacinum hydrothermale
5,28026_Bifidobacterium pseudocatenulatum,28026,Bifidobacterium pseudocatenulatum
6,34002_Paracoccus alcaliphilus,34002,Paracoccus alcaliphilus
7,36854_Desulfitobacterium dehalogenans,36854,Desulfitobacterium dehalogenans
8,741091_Rahnella sp. Y9602,741091,Rahnella sp. Y9602
9,55565_Actinomyces graevenitzii,55565,Actinomyces graevenitzii
10,1265_Ruminococcus flavefaciens,1265,Ruminococcus flavefaciens
11,28117_Alistipes putredinis,28117,Alistipes putredinis
12,314319_Prolixibacter bellariivorans,314319,Prolixibacter bellariivorans
13,392838_Bacteroides propionicifaciens,392838,Bacteroides propionicifaciens
14,1507_Clostridium sp. ATCC 29733,1507,Clostridium sp. ATCC 29733
15,256_Myroides odoratus,256,Myroides odoratus
16,156978_Corynebacterium imitans,156978,Corynebacterium imitans
17,1625_Lactobacillus sanfranciscensis,1625,Lactobacillus sanfranciscensis
18,1304158_Salinisphaera halophila,1304158,Salinisphaera halophila
19,82367_Paracoccus pantotrophus,82367,Paracoccus pantotrophus
20,28213_Sphingomonas parapaucimobilis,28213,Sphingomonas parapaucimobilis
21,270498_Catabacter hongkongensis,270498,Catabacter hongkongensis
22,39492_[Eubacterium] siraeum,39492,[Eubacterium] siraeum
23,572036_Pedobacter luteus,572036,Pedobacter luteus
24,328813_Alistipes onderdonkii,328813,Alistipes onderdonkii
25,387092_Nitratiruptor sp. SB155-2,387092,Nitratiruptor sp. SB155-2
26,165179_Prevotella copri,165179,Prevotella copri
27,529_Ochrobactrum anthropi,529,Ochrobactrum anthropi
28,35517_[Eubacterium] brachy,35517,[Eubacterium] brachy
29,76517_Campylobacter hominis,76517,Campylobacter hominis
30,28251_Ornithobacterium rhinotracheale,28251,Ornithobacterium rhinotracheale
31,29321_Turicella otitidis,29321,Turicella otitidis
32,1680_Bifidobacterium adolescentis,1680,Bifidobacterium adolescentis
33,33008_Rhodococcus globerulus,33008,Rhodococcus globerulus
34,69824_[Clostridium] cocleatum,69824,[Clostridium] cocleatum
35,330920_Sphingomonas azotifigens,330920,Sphingomonas azotifigens
36,1333667_Geodermatophilus poikilotrophus,1333667,Geodermatophilus poikilotrophus
37,246787_Bacteroides cellulosilyticus,246787,Bacteroides cellulosilyticus
38,817_Bacteroides fragilis,817,Bacteroides fragilis
39,1579979_Wenzhouxiangella marina,1579979,Wenzhouxiangella marina
40,103_Flectobacillus major,103,Flectobacillus major
41,90730_Desulfosarcina cetonica,90730,Desulfosarcina cetonica
42,78448_Bifidobacterium pullorum,78448,Bifidobacterium pullorum
43,1776082_Shigella sp. SF-2015,1776082,Shigella sp. SF-2015
44,2145_Spiroplasma taiwanense,2145,Spiroplasma taiwanense
45,392736_Uliginosibacterium gangwonense,392736,Uliginosibacterium gangwonense
46,108980_Acinetobacter ursingii,108980,Acinetobacter ursingii
47,84405_Hippea maritima,84405,Hippea maritima
48,80876_Insolitispirillum peregrinum,80876,Insolitispirillum peregrinum
49,294710_Proteiniphilum acetatigenes,294710,Proteiniphilum acetatigenes
50,2743_Marinobacter hydrocarbonoclasticus,2743,Marinobacter hydrocarbonoclasticus
51,1870820_Paenibacillus sp. IHBB 9852,1870820,Paenibacillus sp. IHBB 9852
52,392566_Lactobacillus aquaticus,392566,Lactobacillus aquaticus
53,1249_Weissella paramesenteroides,1249,Weissella paramesenteroides
54,266748_Chryseobacterium antarcticum,266748,Chryseobacterium antarcticum
55,1516126_Dysgonomonas termitidis,1516126,Dysgonomonas termitidis
56,394340_Asaccharobacter celatus,394340,Asaccharobacter celatus
57,392333_Geoalkalibacter ferrihydriticus,392333,Geoalkalibacter ferrihydriticus
58,93064_Sphingomonas koreensis,93064,Sphingomonas koreensis
59,46503_Parabacteroides merdae,46503,Parabacteroides merdae
60,187327_Acidaminococcus intestini,187327,Acidaminococcus intestini
61,231049_Lactobacillus rossiae,231049,Lactobacillus rossiae
62,529705_Sphingomonas changbaiensis,529705,Sphingomonas changbaiensis
63,1411122_Hymenobacter luteus,1411122,Hymenobacter luteus
64,1623_Lactobacillus ruminis,1623,Lactobacillus ruminis
65,28118_Odoribacter splanchnicus,28118,Odoribacter splanchnicus
66,637886_Dysgonomonas hofstadii,637886,Dysgonomonas hofstadii
67,358742_[Clostridium] aldenense,358742,[Clostridium] aldenense
68,68035_Sporotomaculum hydroxybenzoicum,68035,Sporotomaculum hydroxybenzoicum
69,571800_Psychrobacter sp. G,571800,Psychrobacter sp. G
70,280473_Aquiflexum balticum,280473,Aquiflexum balticum
71,290306_Paracoccus koreensis,290306,Paracoccus koreensis
72,454600_Gracilimonas tropica,454600,Gracilimonas tropica
73,46506_Bacteroides stercoris,46506,Bacteroides stercoris
74,39791_Corynebacterium glucuronolyticum,39791,Corynebacterium glucuronolyticum
75,821_Bacteroides vulgatus,821,Bacteroides vulgatus
76,35623_Acholeplasma oculi,35623,Acholeplasma oculi
77,28447_Clavibacter michiganensis,28447,Clavibacter michiganensis
78,98513_Phenylobacterium haematophilum,98513,Phenylobacterium haematophilum
79,93222_Pandoraea sputorum,93222,Pandoraea sputorum
80,339866_Thiomonas bhubaneswarensis,339866,Thiomonas bhubaneswarensis
81,13656_Rhizorhapis suberifaciens,13656,Rhizorhapis suberifaciens
82,45076_Legionella worsleiensis,45076,Legionella worsleiensis
83,1755603_Bacteroides sp. MC_12,1755603,Bacteroides sp. MC
84,72000_Kocuria rhizophila,72000,Kocuria rhizophila
85,494026_Paenibacillus glacialis,494026,Paenibacillus glacialis
86,39486_Dorea formicigenerans,39486,Dorea formicigenerans
87,90742_Paracoccus sp. MBIC4017,90742,Paracoccus sp. MBIC4017
88,28119_Bacteroides zoogleoformans,28119,Bacteroides zoogleoformans
89,1555194_Formosa haliotis,1555194,Formosa haliotis
90,39497_Eubacterium xylanophilum,39497,Eubacterium xylanophilum
91,100174_Clostridium peptidivorans,100174,Clostridium peptidivorans
92,1501_Clostridium pasteurianum,1501,Clostridium pasteurianum
93,244787_Nautilia profundicola,244787,Nautilia profundicola
94,258_Sphingobacterium spiritivorum,258,Sphingobacterium spiritivorum
95,1343_Streptococcus vestibularis,1343,Streptococcus vestibularis
96,33033_Parvimonas micra,33033,Parvimonas micra
97,29347_[Clostridium] scindens,29347,[Clostridium] scindens
98,600645_Aeromonas piscicola,600645,Aeromonas piscicola
99,591197_Ignavibacterium album,591197,Ignavibacterium album
100,1389639_Achromobacter sp. CCUG 56089,1389639,Achromobacter sp. CCUG 56089
101,1527_Anaerocolumna aminovalerica,1527,Anaerocolumna aminovalerica
102,33051_Sphingomonas sanguinis,33051,Sphingomonas sanguinis
103,1746653_Cellulosimicrobium sp. HBUM179776,1746653,Cellulosimicrobium sp. HBUM179776
104,97253_Eubacterium plexicaudatum,97253,Eubacterium plexicaudatum
105,81409_Eubacterium aggregans,81409,Eubacterium aggregans
106,38986_Acholeplasma palmae,38986,Acholeplasma palmae
107,745368_Gemmiger formicilis,745368,Gemmiger formicilis
108,1358_Lactococcus lactis,1358,Lactococcus lactis
109,34078_Scytonema hofmannii,34078,Scytonema hofmannii
110,1661059_Pseudomonas sp. NBRC 111144,1661059,Pseudomonas sp. NBRC 111144
111,1755610_Alistipes sp. MC_19,1755610,Alistipes sp. MC
112,1478_Bacillus simplex,1478,Bacillus simplex
113,45851_Butyrivibrio crossotus,45851,Butyrivibrio crossotus
114,256702_Glutamicibacter bergerei,256702,Glutamicibacter bergerei
115,320324_Formosa agariphila,320324,Formosa agariphila
116,1686_Bifidobacterium catenulatum,1686,Bifidobacterium catenulatum
117,984_Pedobacter heparinus,984,Pedobacter heparinus
118,454171_Chthonomonas calidirosea,454171,Chthonomonas calidirosea
119,42565_Halomonas salina,42565,Halomonas salina
120,271160_Nicoletella semolina,271160,Nicoletella semolina
121,1264_Ruminococcus albus,1264,Ruminococcus albus
122,1113655_Psychrobacter sp. NBRC 15736,1113655,Psychrobacter sp. NBRC 15736
123,310400_Sphingomonas yunnanensis,310400,Sphingomonas yunnanensis
124,35785_Clostridium maximum,35785,Clostridium maximum
125,13689_Sphingomonas paucimobilis,13689,Sphingomonas paucimobilis
126,170367_Paenibacillus anaericanus,170367,Paenibacillus anaericanus
127,1297750_Bacteroides luti,1297750,Bacteroides luti
128,196162_Nocardioides sp. JS614,196162,Nocardioides sp. JS614
129,99656_[Clostridium] fimetarium,99656,[Clostridium] fimetarium
130,185300_Paludibacter propionicigenes,185300,Paludibacter propionicigenes
131,163_Treponema bryantii,163,Treponema bryantii
132,343332_Kopriimonas byunsanensis,343332,Kopriimonas byunsanensis
133,574375_Bacillus gaemokensis,574375,Bacillus gaemokensis
134,1502_Clostridium perfringens,1502,Clostridium perfringens
135,28264_Arcanobacterium haemolyticum,28264,Arcanobacterium haemolyticum
136,156994_Reichenbachiella agariperforans,156994,Reichenbachiella agariperforans
137,55205_Caldicellulosiruptor owensensis,55205,Caldicellulosiruptor owensensis
138,46228_Ruminococcus lactaris,46228,Ruminococcus lactaris
139,626930_Bacteroides fluxus,626930,Bacteroides fluxus
140,1504_Clostridium septicum,1504,Clostridium septicum
141,501592_Kocuria gwangalliensis,501592,Kocuria gwangalliensis
142,687525_Rubellimicrobium roseum,687525,Rubellimicrobium roseum
143,157673_[Mannheimia] succiniciproducens,157673,[Mannheimia] succiniciproducens
144,871325_Bacteroides faecichinchillae,871325,Bacteroides faecichinchillae
145,309120_Dialister micraerophilus,309120,Dialister micraerophilus
146,1541_Terrisporobacter mayombei,1541,Terrisporobacter mayombei
147,216937_Spiroplasma floricola,216937,Spiroplasma floricola
148,434086_Porticoccus litoralis,434086,Porticoccus litoralis
149,1267_Clostridium ventriculi,1267,Clostridium ventriculi
150,169438_Saccharospirillum impatiens,169438,Saccharospirillum impatiens
151,2173_Methanobrevibacter smithii,2173,Methanobrevibacter smithii
152,52229_Hallella seregens,52229,Hallella seregens
153,33926_Candidatus Phytoplasma,33926,Candidatus Phytoplasma
154,645466_Anaerostipes butyraticus,645466,Anaerostipes butyraticus
155,40520_Blautia obeum,40520,Blautia obeum
156,214856_Alistipes finegoldii,214856,Alistipes finegoldii
157,81406_Desulfovibrio alcoholivorans,81406,Desulfovibrio alcoholivorans
158,1827101_Eubacterium sp. JCM 9976,1827101,Eubacterium sp. JCM 9976
159,341220_Lactonifactor longoviformis,341220,Lactonifactor longoviformis
160,1003_Flexibacter ruber,1003,Flexibacter ruber
161,84378_Brachyspira murdochii,84378,Brachyspira murdochii
